Date,Open,High,Low,Close,Adj Close,Volume,Sentiment_DecisionTreeClassifier,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier,Sentiment_VADER
2017-05-19,34.2575,34.555,33.805,34.0,33.592052,101837200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2017-05-22,34.442501,34.869999,34.3325,34.724998,34.308353,83660800,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2017-05-23,34.924999,34.947498,33.927502,34.2575,33.846466,68124800,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3634
2017-05-24,35.240002,35.267502,34.52,34.642502,34.226849,81599600,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5
2017-05-25,35.0,35.0075,34.110001,34.564999,34.150272,60822800,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2017-05-26,34.482498,36.32,34.2775,35.459999,35.034534,77914000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7787
2017-05-30,35.924999,36.572498,35.762501,36.217499,35.782951,98965200,,,,,,,,,
2017-05-31,36.672501,36.75,35.512501,36.087502,35.654507,88731600,,,,,,,,,
2017-06-01,36.247501,36.2575,35.630001,36.09,35.656982,50334000,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.6909
2017-06-02,36.060001,36.325001,35.849998,35.91,35.479137,48745600,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.4871
2017-06-05,35.744999,37.1325,35.627499,37.002499,36.558533,81737600,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.648
2017-06-06,36.955002,37.422501,36.700001,36.834999,36.393036,75872800,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85015
2017-06-07,37.0825,37.470001,36.924999,37.279999,36.832703,61261200,,,,,,,,,
2017-06-08,38.365002,40.0,37.947498,39.985001,39.505253,116174400,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
2017-06-09,41.185001,42.125,35.6875,37.400002,36.951256,369292800,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23665000000000003
2017-06-12,36.470001,37.924999,35.5275,37.4925,37.042652,169753200,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.352
2017-06-13,38.599998,38.692501,36.412498,37.849998,37.395859,167250400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2017-06-14,37.880001,38.514999,37.125,37.93,37.474911,118464000,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.375
2017-06-15,36.740002,38.400002,36.625,38.092499,37.635448,96382400,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7383500000000001
2017-06-16,38.189999,38.674999,37.560001,37.904999,37.450203,92496000,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
2017-06-19,38.352501,39.3825,38.314999,39.330002,38.858112,77817600,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.70095
2017-06-20,39.7575,40.435001,39.23,39.272499,38.801296,109544400,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5
2017-06-21,39.552502,39.904999,38.924999,39.8675,39.38916,68265200,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.6909
2017-06-22,39.950001,40.084999,39.349998,39.592499,39.117443,46913200,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
2017-06-23,39.669998,39.830002,38.305,38.4575,37.996075,108858800,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7202
2017-06-26,38.790001,39.150002,37.0825,38.037498,37.581112,106396000,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.13679999999999998
2017-06-27,37.860001,37.947498,36.587502,36.645,36.205318,99949200,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.28925
2017-06-28,37.330002,37.985001,36.4375,37.9375,37.4823,99494800,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5
2017-06-29,37.650002,37.68,36.02,36.669998,36.230019,106442400,,,,,,,,,
2017-06-30,36.845001,36.982498,35.875,36.139999,35.706379,73106000,,,,,,,,,
2017-07-03,36.262501,36.412498,34.645,34.8325,34.414566,70907200,,,,,,,,,
2017-07-05,35.474998,36.055,35.282501,35.762501,35.333416,82018800,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5
2017-07-06,35.467499,36.345001,34.939999,35.869999,35.439617,74628400,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.648
2017-07-07,36.445,36.875,36.212502,36.689999,36.249771,65497200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2017-07-10,37.435001,38.5,37.169998,38.424999,37.963963,95849200,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5
2017-07-11,38.462502,39.047501,38.037498,38.970001,38.50243,75795600,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6909
2017-07-12,39.575001,40.75,39.139999,40.627499,40.140038,114520800,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
2017-07-13,40.75,41.575001,39.6875,40.157501,39.675674,136913200,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.4614
2017-07-14,40.322498,41.252499,40.252499,41.237499,40.742718,94194800,,,,,,,,,
2017-07-17,41.5825,41.875,40.4375,41.0625,40.569824,93079200,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5
