Date,Open,High,Low,Close,Adj Close,Volume,Sentiment_DecisionTreeClassifier,Sentiment_finbert,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier,Sentiment_Random
2016-06-09,115.779999,117.190002,115.610001,117.0,95.668159,7375500,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-06-10,116.739998,117.230003,116.360001,117.010002,95.676323,6067400,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2016-06-13,117.129997,117.639999,116.790001,116.790001,95.49646,7940900,,,,,,,,,,
2016-06-14,116.449997,117.18,116.300003,117.120003,95.766296,6378400,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2016-06-15,117.639999,117.739998,116.339996,116.410004,95.18573,6371400,,,,,,,,,,
2016-06-16,115.690002,116.889999,115.220001,116.639999,95.37381,6664300,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2016-06-17,116.620003,116.669998,115.010002,115.480003,94.425285,10702200,,,,,,,,,,
2016-06-20,116.599998,117.139999,116.43,116.540001,95.292038,5588200,,,,,,,,,,
2016-06-21,116.989998,117.150002,116.18,116.18,94.997658,5493500,,,,,,,,,,
2016-06-22,116.540001,117.209999,116.309998,116.459999,95.226624,5833800,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
2016-06-23,117.199997,117.379997,116.68,117.379997,95.978874,6775900,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2016-06-24,115.07,117.120003,115.0,115.629997,94.547943,13939500,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-27,115.0,116.639999,115.0,116.550003,95.300224,10877400,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2016-06-28,117.169998,118.370003,116.550003,118.230003,96.673912,10089600,,,,,,,,,,
