Date,Open,High,Low,Close,Adj Close,Volume
2012-10-23,2.965000,3.102500,2.957500,3.082500,2.827965,57394800
2012-10-24,3.102500,3.115000,3.012500,3.042500,2.791269,33291600
2012-10-25,3.067500,3.100000,3.032500,3.045000,2.793562,30735600
2012-10-26,3.050000,3.067500,3.012500,3.012500,2.763745,38937600
2012-10-31,3.025000,3.050000,2.987500,2.995000,2.747689,34711200
2012-11-01,3.010000,3.140000,3.007500,3.137500,2.878425,47322000
2012-11-02,3.170000,3.175000,3.102500,3.122500,2.864662,25670000
2012-11-05,3.115000,3.267500,3.115000,3.255000,2.986222,44484000
2012-11-06,3.262500,3.262500,3.197500,3.252500,2.983927,35080400
2012-11-07,3.227500,3.247500,3.137500,3.152500,2.892184,32462000
2012-11-08,3.187500,3.270000,3.162500,3.170000,2.908240,83902400
2012-11-09,3.187500,3.225000,3.037500,3.047500,2.795855,84628000
2012-11-12,3.052500,3.065000,2.950000,2.980000,2.733930,64362400
2012-11-13,2.965000,3.032500,2.955000,2.957500,2.713287,49212000
2012-11-14,2.975000,3.005000,2.882500,2.885000,2.646774,61930000
2012-11-15,2.902500,2.977500,2.877500,2.897500,2.658242,46668800
2012-11-16,2.897500,2.907500,2.787500,2.845000,2.610077,62455200
2012-11-19,2.897500,2.935000,2.862500,2.925000,2.683471,40409200
2012-11-20,2.895000,2.907500,2.842500,2.872500,2.652308,33697600
2012-11-21,2.872500,2.962500,2.870000,2.955000,2.728484,42231200
2012-11-23,2.967500,3.010000,2.952500,2.975000,2.746950,27693200
2012-11-26,2.980000,3.035000,2.975000,3.027500,2.795425,36460000
2012-11-27,3.015000,3.085000,2.990000,3.040000,2.806968,45140400
2012-11-28,3.027500,3.080000,2.990000,3.065000,2.830051,39833200
2012-11-29,3.070000,3.085000,3.000000,3.010000,2.779268,48868800
2012-11-30,3.007500,3.030000,2.975000,2.992500,2.763109,46050400
2012-12-03,3.030000,3.030000,2.930000,2.937500,2.712325,39138000
2012-12-04,2.942500,3.030000,2.925000,3.025000,2.793118,52806800
2012-12-05,3.000000,3.020000,2.947500,2.990000,2.760801,63302400
2012-12-06,2.982500,3.015000,2.972500,2.995000,2.765416,41289600
2012-12-07,2.997500,3.012500,2.955000,2.990000,2.760801,33828800
2012-12-10,2.990000,3.112500,2.982500,3.090000,2.853135,51364400
2012-12-11,3.100000,3.202500,3.092500,3.162500,2.920078,81672400
2012-12-12,3.172500,3.190000,3.117500,3.130000,2.890069,39940400
2012-12-13,3.125000,3.192500,3.102500,3.132500,2.892377,37755600
2012-12-14,3.145000,3.180000,3.122500,3.147500,2.906227,33866000
2012-12-17,3.140000,3.157500,3.087500,3.135000,2.894686,44523200
2012-12-18,3.135000,3.175000,3.125000,3.140000,2.899302,41643600
2012-12-19,3.162500,3.200000,3.150000,3.162500,2.920078,45854400
2012-12-20,3.175000,3.177500,3.125000,3.160000,2.917769,33433200
2012-12-21,3.117500,3.117500,3.052500,3.087500,2.850827,46217200
2012-12-24,3.085000,3.095000,3.052500,3.062500,2.827744,12737600
2012-12-26,3.055000,3.105000,3.047500,3.060000,2.825434,19674000
2012-12-27,3.065000,3.070000,3.005000,3.040000,2.806968,29980400
2012-12-28,3.012500,3.072500,3.007500,3.025000,2.793118,22060000
2012-12-31,3.015000,3.077500,3.007500,3.065000,2.830051,32646000
2013-01-02,3.140000,3.182500,3.127500,3.180000,2.936236,47883600
